Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Republika Srpska,Bosanski Petrovac,2021,6259,0.190731838,14.94992542
Bosnia and Herzegovina,Republika Srpska,Bosanski Petrovac,2022,6259,0.196934164,15.67036137
Bosnia and Herzegovina,Republika Srpska,Bosanski Petrovac,2023,6259,0.203135043,16.40264159
Bosnia and Herzegovina,Republika Srpska,Bosanski Petrovac,2024,6259,0.184603363,14.2501234
Bosnia and Herzegovina,Republika Srpska,Bosanski Samac,2020,6260,0.186766878,14.49578782
Bosnia and Herzegovina,Republika Srpska,Bosanski Samac,2021,6260,0.168421894,12.46183792
Bosnia and Herzegovina,Republika Srpska,Bosanski Samac,2022,6260,0.177045152,13.40393701
Bosnia and Herzegovina,Republika Srpska,Bosanski Samac,2024,6260,0.174781308,13.15417772
Bosnia and Herzegovina,Republika Srpska,Bosanski Samac,2023,6260,0.202024475,16.27061987
Bosnia and Herzegovina,Republika Srpska,Bratunac,2020,6261,0.180539727,13.79283265
Bosnia and Herzegovina,Republika Srpska,Bratunac,2021,6261,0.154433087,10.98814915
Bosnia and Herzegovina,Republika Srpska,Bratunac,2022,6261,0.172103077,12.8609284
Bosnia and Herzegovina,Republika Srpska,Bratunac,2023,6261,0.173518807,13.01563994
Bosnia and Herzegovina,Republika Srpska,Bratunac,2024,6261,0.156927526,11.24587903
Bosnia and Herzegovina,Republika Srpska,Brcko,2020,6262,0.17832911014556885,13.54635152
Bosnia and Herzegovina,Republika Srpska,Brcko,2021,6262,0.177697524,13.47622845
Bosnia and Herzegovina,Republika Srpska,Brcko,2022,6262,0.163193643,11.90303264
Bosnia and Herzegovina,Republika Srpska,Brcko,2023,6262,0.18282707035541534,14.04956685
Bosnia and Herzegovina,Republika Srpska,Brcko,2024,6262,0.16715838015079498,12.32592541
Bosnia and Herzegovina,Republika Srpska,Cajnice,2020,6263,0.243795931,21.48372306
Bosnia and Herzegovina,Republika Srpska,Cajnice,2021,6263,0.21461988985538483,17.78976738
Bosnia and Herzegovina,Republika Srpska,Cajnice,2022,6263,0.205325872,16.66418587
Bosnia and Herzegovina,Republika Srpska,Cajnice,2023,6263,0.235635161,20.42691036
Bosnia and Herzegovina,Republika Srpska,Cajnice,2024,6263,0.242068127,21.25850055
Bosnia and Herzegovina,Republika Srpska,Celinac,2020,6264,0.223350286,18.87017324
Bosnia and Herzegovina,Republika Srpska,Celinac,2021,6264,0.217368394,18.12752485
Bosnia and Herzegovina,Republika Srpska,Celinac,2022,6264,0.187073424,14.53071851
Bosnia and Herzegovina,Republika Srpska,Celinac,2023,6264,0.218881264,18.31437493
Bosnia and Herzegovina,Republika Srpska,Celinac,2024,6264,0.258072674,23.37408338
Bosnia and Herzegovina,Republika Srpska,Derventa,2020,6265,0.205934823,16.73714232
Bosnia and Herzegovina,Republika Srpska,Derventa,2021,6265,0.205940112,16.73777657
Bosnia and Herzegovina,Republika Srpska,Derventa,2022,6265,0.178093448,13.52017116
Bosnia and Herzegovina,Republika Srpska,Derventa,2023,6265,0.212270319,17.50278903
Bosnia and Herzegovina,Republika Srpska,Derventa,2024,6265,0.184286103,14.21422678
Bosnia and Herzegovina,Republika Srpska,Doboj,2020,6266,0.221256435,18.60905608
